,alpha_1,alpha_2,beta_1,beta_2,w,lambda,perseveration
0,0.798849328592668,0.3634773451244163,2.0361766016726777,5.304956095089804,0.6723056938705787,0.3068210120042031,0.30361935576064947
1,0.10949850159187213,0.97334834463182,2.616814177750671,6.604568964967789,0.8544913327685626,0.2420540937916702,0.43106077555194455
2,0.7772783304853027,0.1654605788058402,9.457203841901137,4.402099843833903,0.3726040737576699,0.3686904720871246,0.1658075769377746
3,0.5601545078104039,0.6572894394127377,8.419840784732642,7.927144103196824,0.4520903525387032,0.008219270052093552,0.3074880218890462
4,0.2819752287564026,0.1086085231161883,5.269553559745455,6.175504289517178,0.21737282878489006,0.24797594772726905,-0.11635493761312943
5,0.35643533434952,0.7642894581413884,5.0305223930130305,2.740599232705753,0.9480045202042762,0.9448996640221631,-0.32156923987333097
6,0.2718375875807486,0.38650235265653454,9.47141147509309,6.6850900258699815,0.45380998363806013,0.7777036362676071,-0.4709863274870789
7,0.326000309281991,0.8579265076822261,3.2977892721677673,7.531547593828553,0.3039641187014269,0.4700003272845562,0.028457785762573073
8,0.931657141145809,0.1518141217274238,5.946618119579372,9.055839358009539,0.20198270204717594,0.07727288215451711,0.20384131806989236
9,0.010921802372835687,0.5455067666536633,6.211322138541653,8.531139813276548,0.0753608843629131,0.6803750637795173,-0.14619338599074716
10,0.40578817164359937,0.09674956935136936,8.498390039725567,9.778845064831842,0.5755642499029302,0.568103366303384,-0.07848798691816561
11,0.21604440559353522,0.6711383738439616,7.2213921153939005,9.486894237814035,0.8458676625649669,0.10566488072753821,0.2610753957080426
12,0.30909026821254726,0.944132353576171,0.49023904424028286,7.2255908109521005,0.5394688862687977,0.9448545628656912,0.4931297562840652
13,0.15942159440839554,0.12237825907892708,9.393515964133533,2.560910756989203,0.9489815130190354,0.5244179618696041,0.3009224719821467
14,0.5255876841726314,0.902105671525666,7.009665990530635,9.850253586440806,0.8136954864073069,0.8258832364485307,-0.16049120957255092
15,0.03918586839468008,0.6317877692055507,0.41157605678538733,9.28568076879228,0.304103446941131,0.3937833308396458,0.20738220234828553
16,0.7201477386855868,0.41852814097076985,2.0093974519352393,4.956384513382278,0.9399161848561125,0.13588101566857802,-0.20616398529372493
17,0.3697199888765613,0.58633002143955,7.210606745644486,8.920618624892736,0.3716631479835112,0.38297782840290606,0.34255077767630293
18,0.963180009413015,0.7967986131249056,0.7082512038648657,1.0874977979339793,0.46055649562568046,0.8187023349631896,0.4378459982242152
19,0.2916048540359961,0.33811680006187284,6.149999889491827,4.357860326230547,0.10722303223300877,0.20053493700982072,-0.4476845302161041
20,0.5097170753469503,0.335725866871162,2.4921497350786117,3.1105959616273147,0.28787842153016896,0.8851772113248931,0.48085317562814844
21,0.8491394345415603,0.9900232097835494,2.258115038410603,9.846618290269529,0.6290200032377046,0.06002400431439803,-0.22087139292508473
22,0.6511800008990469,0.3202126244437685,4.349445449381486,3.3890850426598798,0.04121863590702357,0.5446164974213459,-0.25098187311845843
23,0.17084535223154962,0.5488586052854852,2.2179317764134905,2.4307397058601765,0.1629645704928483,0.5069269790609844,0.32841567261853966
24,0.017577696798490305,0.09061078438498482,8.896018771444963,6.61563524766339,0.007227040910321225,0.5439653315419313,0.03767599865210747
25,0.2459626069308266,0.3530378988314722,9.416581559825294,5.386895331634378,0.031220511695143505,0.27258796652227046,0.05175554702477647
26,0.7324097287757659,0.431699068157253,7.0845022334294,9.005561475918821,0.9341488463818042,0.4185852904128553,0.16593556235098772
27,0.01667292922456709,0.8100352293369758,4.8101648832235595,2.2221902125712343,0.7285303678545973,0.8196915299585587,-0.02135729121892649
28,0.2391395664561613,0.8192026752933996,2.6456018280915625,6.9557838088728285,0.15301047204372775,0.7264718611160526,0.3696543883835903
29,0.6642572074782058,0.23246854383069637,4.289181228838176,7.9885288105612,0.8380907854681112,0.4324587150905552,0.3629510420546157
30,0.9902635354836616,0.41739514564084335,8.986241071941716,6.792698663548299,0.7950194318974182,0.15560190024778164,-0.4704834622555162
31,0.8992512233163811,0.8030768380913,2.4767407267497887,9.362285940449574,0.2641165235657018,0.5208522069082406,-0.12340610149077402
32,0.8337038170312403,0.8536696875249297,5.2627710659863665,8.491694589437712,0.3461663079549171,0.9111092592328908,0.1767909957925935
33,0.43840817238167884,0.2328648501605105,3.779287533640653,3.196402658672081,0.7274989810853716,0.8920764262693562,0.13324304358292993
34,0.2128730734915194,0.3941182068030885,4.60578866287598,1.5374576085998954,0.6407013014423203,0.2579443722593835,0.14799196726964736
35,0.6426613213956783,0.3606963756987053,4.8249172904918884,6.833768737460279,0.2270371361422414,0.5333444062780403,0.38440362482389767
36,0.7702406042417874,0.9381265527865816,7.116865123911914,1.5016195685258418,0.21879117007618776,0.7042348801716858,-0.2975949762258455
37,0.3008757749511761,0.8807609709943716,4.361847465840749,6.737380516774778,0.466255361403658,0.31947961170591255,0.38209989298000824
38,0.8424431949615323,0.9515433861383151,3.327762270474635,9.870494484456584,0.6771441582288502,0.2219702413992607,0.20516077536990074
39,0.34820913947301857,0.5451437111080353,9.756375287823182,6.969786431440993,0.8247951096857087,0.4742829804631039,-0.4656704516390685
40,0.4995656376139268,0.23932611514266433,9.23569180734408,9.190911602417053,0.7410832316162627,0.7152960660448844,-0.32916497411816326
41,0.9832522350273026,0.8102647477818502,8.486295897463547,6.331666172142417,0.12302225802637712,0.449849919188133,0.3224798184802574
42,0.393311281864574,0.15973923097306952,1.3594558544490805,7.11346924573582,0.3201700360965821,0.8117736297424318,0.009907764476726477
43,0.8629534556356641,0.8090229342627998,6.553723750535185,4.836615855762186,0.3853702526754512,0.4904561079088403,0.25323437902827695
44,0.027110288654171755,0.5936595552624158,0.22258469556587424,5.299237297684999,0.13343992069952604,0.010801354485840409,0.325809407718335
45,0.6476041053829232,0.9979415256831656,0.6591746060586263,0.16681216810429164,0.8340537846701838,0.5302195460158138,0.32339687046294663
46,0.39332491752468945,0.4515568746757951,3.7113210598772417,6.389891302709574,0.6020690900595057,0.4417493090371858,0.4974433520512279
47,0.002198817395401287,0.7062460537039629,7.094828578509737,5.965299269757625,0.4116438499284928,0.42182433774742445,-0.48391802367553394
48,0.16559004642789266,0.6788559143037763,4.307624221031014,2.26195934965959,0.6921779963578544,0.03671836552757557,-0.23528948880268197
49,0.17376783663104267,0.15459378864899354,9.0658444907861,6.830197765955275,0.7253059810102285,0.5767923474123646,0.4016270107675137
50,0.9057226837169273,0.4777368722321774,2.0203569315053724,7.244597107398679,0.9935386335598011,0.5268287627219557,-0.2520309332918913
51,0.723496648438895,0.6351461460879521,0.8230376241110917,1.2943633413125526,0.012732695818517215,0.3803401223114664,-0.46718068857433404
52,0.6382000645399566,0.9698832337293412,8.43962718995011,0.31826776139445706,0.6821941999213607,0.7951922355423838,-0.20165794643551138
53,0.010817564593950002,0.41172009589633474,9.193507789005428,0.9511947589889538,0.8502394040872572,0.8078361780788602,-0.33601368864325176
54,0.5516038661037888,0.6045973301665354,6.467449099692722,5.31342047713648,0.6836347535662135,0.7891015541017528,0.4157219200764042
55,0.185640869290973,0.8387338622717333,2.6291418215291276,7.259881657781125,0.17028415292924437,0.18680794367539144,-0.11695592389469878
56,0.7857982140602634,0.33796876278889754,5.758658160234703,2.1504323554719815,0.8481789825053679,0.35202644775906944,0.47543257669429273
57,0.1132819533859627,0.34718012687788935,7.449784748515524,2.4026106572792885,0.9848525400023944,0.8440159775919684,0.1452942916833272
58,0.28770112892845867,0.4668366264196162,1.3824802780529029,2.2588729167079094,0.3668008348087842,0.2499789478491572,0.35039630052064663
59,0.2753444150530633,0.9700527757819623,5.468059798091202,1.8905977896047204,0.043865284431653606,0.8726671052559487,0.4310246226381125
60,0.5057750797697752,0.057643536426521425,6.098539001643014,1.1734791546696801,0.8357805701743238,0.20904362006767963,-0.36148536148629107
61,0.7179083093624099,0.1330225020460576,6.577005310195638,9.220346499787254,0.8486039175700486,0.5542083268677889,0.027363484638140756
62,0.3480803523251109,0.9717281577093287,6.950057437207021,6.690354861316232,0.9174380579562444,0.20516307008743762,0.08087823498160296
63,0.2857732106188994,0.2501795341447638,6.156933028100941,3.9824392137869875,0.6756749678346884,0.4801104996285438,-0.405247233124408
64,0.43446043354523634,0.29447685582251804,6.358071649242681,9.792660602689269,0.8497106024725797,0.48821069926048344,-0.055360942209386144
65,0.697803923147662,0.17039954117890066,8.479090798987109,5.652464724135805,0.36643725840526464,0.2977166652280998,0.06789901118969022
66,0.05341501044596353,0.4470447077197044,4.367666331516923,2.700283731432952,0.5899496239680816,0.5241718628114397,0.2359304477585027
67,0.1293662820070396,0.92178927242804,5.873530439007129,3.4673632913505728,0.11817878943664017,0.1531383444839165,-0.043651269122335634
68,0.8006427787638457,0.9640394639699903,6.5210948938876765,6.674867445470938,0.8947899537801175,0.5381348102296432,-0.29434021426739254
69,0.7830206256166123,0.10947078455045589,9.069395119674736,9.124309482310743,0.9452603649579484,0.7757545736582995,-0.016898868405990863
70,0.7677612458944183,0.831323693037057,9.156765158342544,2.380739051139079,0.6261044593435525,0.9210388849137998,-0.07194429021100957
71,0.7355402231633933,0.14375699905555994,5.720672808452656,2.1215037947968556,0.2500573856966525,0.5663704686466877,-0.4152276783992591
72,0.09865779282714748,0.7816809900760514,5.467555986529999,2.6070301250227943,0.9176122950500791,0.16766760654904478,-0.034807646728850616
73,0.5912279481280304,0.8423841548969122,1.703128412523895,6.441507328379162,0.023877335974106573,0.5836439241006458,0.1627532855908943
74,0.21109498907703816,0.22351825749863852,5.316534439893029,6.867536355895075,0.14953123432624738,0.8971801377418462,0.21203989731882678
