,p_0,p_00,p_1,p_2
0,0.7222920801832587,0.2581907593768282,0.2674295855404404,0.15136899633815004
1,0.520647430434206,0.8700569516802705,0.0822795207246626,0.5188145490167465
2,0.6641131464841072,0.3555444339075253,0.060406949868655246,0.9598691744746511
3,0.2064081450616787,0.206538573387945,0.9749545898624974,0.7796893588307527
4,0.16338646981662208,0.9095171620850624,0.5042684445021199,0.14265490211375187
5,0.03760659294334179,0.5407159381208598,0.9515327218750504,0.6527955420654782
6,0.3256488385544952,0.7982326900893589,0.0928990133098142,0.5072558775261155
7,0.6941816565772585,0.04148605477731948,0.918902825063921,0.11302123647458717
8,0.6639766155082667,0.10861967513862913,0.6691983245290206,0.8617713492353247
9,0.8623754957699112,0.13418061219963562,0.9084779155877433,0.6342108539138744
10,0.9528618154156316,0.40374836059366814,0.8609232117359349,0.8230386420704675
11,0.9984781813541713,0.7650322247408403,0.6652330245128486,0.698852572444019
12,0.9822489852637589,0.7088795496274716,0.877438602595057,0.209510403769249
13,0.21278178940081938,0.857540670534153,0.7009203690499572,0.2987645652112202
14,0.45187717524141313,0.05919632128874852,0.8016043921634955,0.23661416258971912
15,0.05903047772793191,0.8449176861915115,0.4480679396548468,0.7061064213772771
16,0.9094584114580331,0.3298754795506168,0.3934453828601806,0.13393179359711738
17,0.8156942784179031,0.18768019431266392,0.5077934952451463,0.7730136725155343
18,0.7686845250355668,0.4169141406718061,0.6781637249925188,0.15615474713434863
19,0.8009469633499917,0.009396338829752215,0.45283087958698365,0.7489482144923022
20,0.7583364209127169,0.549855150599056,0.586339939704821,0.8727399071379874
21,0.4430231189046504,0.8795787378956254,0.3201179242622747,0.7050400662745688
22,0.2664345182882387,0.997098548178458,0.5891023804950173,0.22177845664234963
23,0.2588915237811721,0.4709289690338233,0.5517543364017635,0.8329845664674503
24,0.21341933057325302,0.5017240180283274,0.2015265023607239,0.9136263620713481
25,0.6177957824122033,0.4317224186099924,0.3470960997681264,0.4864247023446152
26,0.50762119415097,0.5558159501288702,0.7589890853976665,0.8831104206946853
27,0.6348417406093922,0.580149679772809,0.19547097475357467,0.15125285113339648
28,0.9381386344044185,0.5712253294950607,0.5890290812610224,0.39732618237618245
29,0.6452580019498082,0.763869881343661,0.9985197775371558,0.2278956855914227
30,0.781158029208631,0.974421329265192,0.3564374114737954,0.6034595307746368
31,0.6369202195710724,0.5892128033125171,0.3960766052315634,0.6416271352176919
32,0.5681074035663818,0.43307429399225217,0.9459541561816441,0.724942782058047
