,alpha_1,alpha_2,beta_1,beta_2
0,0.3666199107095338,0.2369030823171998,0.36737591389835345,3.2976098854614913
1,0.6505471416922057,0.4107607443698631,0.272254061701244,1.7131715132481584
2,0.20895141240463022,0.26538587645618417,2.53858241065809,1.640881279603699
3,0.26462423931306844,0.7899186728959521,0.48120381688147884,1.608829051576284
4,0.47584579870271937,0.3468090520756133,2.483449737090501,0.2824144731281923
5,0.12476761440390971,0.7962272547457885,1.2849682480698263,0.40802730772106277
6,0.7899869054940188,0.027507532372517463,2.5069609542036706,0.9269844073529725
7,0.8160967335396191,0.4120898506062497,1.1473007103534185,2.0612684023653722
8,0.1639103978605364,0.9312812846964339,2.1250630378289133,2.06889240697997
9,0.030038041364611856,0.5908868489098639,0.5908647209632953,0.8256517865361772
10,0.5650388955929122,0.8555523673993674,2.153136098733457,0.5508474965383786
11,0.04984742359022898,0.612772792436366,0.6303125570648561,3.0626540479529076
12,0.7412676090500516,0.07494313676632158,1.6717160817447347,0.885670798439977
13,0.9471696247250431,0.771057884473903,3.0085840351946227,0.5836913256607821
14,0.4951533522132483,0.03988638343492801,1.5966173582768286,3.9888371691342273
15,0.8767661653192997,0.21798449847853552,0.4069057537120573,3.0161325045772847
16,0.3635551984490517,0.3151850939602393,3.374240542039265,2.524469227484374
17,0.5774380411953624,0.9454399441894438,0.7350880959059165,0.8384969773830818
18,0.738649208366313,0.8683892021182179,0.3373986818668284,0.13665366854909552
19,0.16189769482766314,0.06021305347470962,0.7360246878984068,0.7361948181744662
20,0.7739450622438623,0.9683989813513825,3.8488917066571404,2.1119680040358726
21,0.3212280585804438,0.68899517437289,1.6755706645224218,1.840459682878236
22,0.9152042133816519,0.7784991577690936,0.8239489296472533,3.1821321106971188
23,0.882010745546909,0.5804772160591757,1.2125384737829497,2.8965536039777167
24,0.05382066664781571,0.8047887295978736,0.46758083129885264,3.3636828371515146
25,0.728916755102871,0.7036286281575459,0.4728868620006995,3.7593215664470945
26,0.1895910232541278,0.37053486984676065,3.9167204365285677,2.064849365609756
27,0.401974210551987,0.43406934010268716,3.376859955357823,1.8592989731763598
28,0.2688406846021333,0.21802358499639374,2.774096219394654,3.552831166476919
